DOI,Aesthetic Metrics,Aesthetic Resolution,Aesthetic Tag,Aesthetic cleanup,Application Domain,Authors,Bibtex Key,Checked By,Cleaned-Up Venue,Collect,Constraints,Doubt,Drawing Dimensionality,Duplicate,Evaluation Methodology,Filled in by,Graph Feature Clean-up,Graph Features,Highlight,How Was the Optimization Achieved?,Keep,Last edited by,Last edited time,Number of Graphs,Optimization Approach,Optimization Approach cleaned,Optimization Level,Paper Type,Place,Place 1,Read By,Source,Title,Type Tag,URL,Venue,Visualization Type,Visualization Type cleanup,Year,|E| Range,|V| Range
10.1007/978-3-642-31223-6_10,"Edge Orthogonality, Edge-Node Overlap",Edge,Overlap,,Agnostic,Michael WybrowKim MarriottPeter J. Stuckey,wybrow_orthogonal_2012,Henry,Diagrammatic Representation and Inference,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Computational (Run Time),Henry,,Hypergraph,No,"Edge Routing, Interaction",Yes,Diana Marin,"October 15, 2025 5:11 PM",5,"Heuristic (other), Interactive",,Drawing,Method,,,Henry,SpringerLink,Orthogonal Hyperedge Routing,,https://link.springer.com/chapter/10.1007/978-3-642-31223-6_10,Diagrammatic Representation and Inference,Orthogonal Node-Link Diagram,Node-Link,2012,11083-53805,6948-33587
10.1007/978-3-642-34191-5_16,,,,,,José CáceresCarmen CortésClara Isabel GrimaMasahiro HachimoriAlberto MárquezRaiji MukaeAtsuhiro NakamotoSeiya NegamiRafael RoblesJesús Valenzuela,,Henry,Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:57 PM",,,,,,,,Henry,SpringerLink,Compact Grid Representation of Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-34191-5_16,Computational Geometry,,,2012,,
10.1007/978-3-642-32589-2_18,,,,,,Therese BiedlPeter Floderus,,Henry,Mathematical Foundations of Computer Science,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:57 PM",,,,,,,,Henry,SpringerLink,Drawing Planar Graphs on Points Inside a Polygon,,https://link.springer.com/chapter/10.1007/978-3-642-32589-2_18,Mathematical Foundations of Computer Science 2012,,,2012,,
10.1007/978-3-642-35261-4_53,,,,,,Yann DisserJannik Matuschke,,Henry,Algorithms and Computation,,,No,,Yes,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:56 PM",,,,,,,,Henry,SpringerLink,Degree-Constrained Orientations of Embedded Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-35261-4_53,Algorithms and Computation,,,2012,,
10.1007/978-3-642-34611-8_12,,,,,,Emilio Di GiacomoWalter DidimoGiuseppe LiottaFabrizio Montecchiani,,Sara,Graph-Theoretic Concepts in Computer Science,,,No,,No,,,,,No,,No,Sara Di Bartolomeo,"August 18, 2025 4:09 PM",,,,,,,,Henry,SpringerLink,h-Quasi Planar Drawings of Bounded Treewidth Graphs in Linear Area,,https://link.springer.com/chapter/10.1007/978-3-642-34611-8_12,Graph-Theoretic Concepts in Computer Science,,,2012,,
10.1007/978-3-642-34624-8_22,,,,,,Grzegorz SobczakMariusz PikułaMarcin Sydow,,Henry,Foundations of Intelligent Systems,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 1:45 PM",,,,,,,,Henry,SpringerLink,AGNES: A Novel Algorithm for Visualising Diversified Graphical Entity Summarisations on Knowledge Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-34624-8_22,Foundations of Intelligent Systems,,,2012,,
10.1007/978-3-642-28076-4_20,,,,,,Christian BachmaierMarco Matzeder,,Henry,WALCOM: Algorithms and Computation,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:55 PM",,,,,,,,Henry,SpringerLink,Drawing Unordered Trees on k-Grids,,https://link.springer.com/chapter/10.1007/978-3-642-28076-4_20,WALCOM: Algorithms and Computation,,,2012,,
10.1007/978-3-642-28076-4_19,"Bends, Crossing Angle",,,,,Martin FinkJan-Henrik HaunertTamara MchedlidzeJoachim SpoerhaseAlexander Wolff,,Henry,WALCOM: Algorithms and Computation,,,No,,No,,,,,No,,No,Velitchko Filipov,"October 14, 2025 1:33 PM",,,,,Proof,,,Henry,SpringerLink,Drawing Graphs with Vertices at Specified Positions and Crossings at Large Angles,,https://link.springer.com/chapter/10.1007/978-3-642-28076-4_19,WALCOM: Algorithms and Computation,"Orthogonal Node-Link Diagram, Point-Set Embedding, RAC Drawing",Node-Link,2012,,
10.1007/978-3-642-32241-9_29,,,,,,Seok-Hee HongPeter EadesGiuseppe LiottaSheung-Hung Poon,,Henry,Computing and Combinatorics,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:54 PM",,,,,,,,Henry,SpringerLink,Fáry’s Theorem for 1-Planar Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-32241-9_29,Computing and Combinatorics,,,2012,,
10.1007/978-3-642-32241-9_25,,,,,,Evmorfia ArgyriouMichael BekosMichael KaufmannAntonios Symvonis,,Henry,Computing and Combinatorics,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:54 PM",,,,,,,,Henry,SpringerLink,Geometric RAC Simultaneous Drawings of Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-32241-9_25,Computing and Combinatorics,,,2012,,
10.1007/978-3-642-32512-0_2,,,,,,Per AustrinToniann PitassiYu Wu,,Henry,"Approximation, Randomization, and Combinatorial Optimization Algorithms and Techniques",,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:54 PM",,,,,,,,Henry,SpringerLink,"Inapproximability of Treewidth, One-Shot Pebbling, and Related Layout Problems",,https://link.springer.com/chapter/10.1007/978-3-642-32512-0_2,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques",,,2012,,
10.1007/978-3-642-31223-6_12,"Bends, Crossings, Edge Length, Edge Orthogonality, Edge Overlaps, Node Orthogonality, Node-edge occlusion","Drawing, Edge, Node","Edge Crossings, Edge Length, Overlap",,"Electrical Engineering, Wiring Diagrams",Christian ErnstbrunnerJosef Pichler,ernstbrunner_aesthetic_2012,Henry,Diagrammatic Representation and Inference,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Run Time), Looking at Pictures",Henry,,Simple Graph,No,"Edge Nudging, Edge Routing, Layout Algorithm",Yes,Velitchko Filipov,"October 14, 2025 1:33 PM",3,Heuristic (other),,"Drawing, Layout","Evaluation, Method",,,Henry,SpringerLink,Aesthetic Layout of Wiring Diagrams,,https://link.springer.com/chapter/10.1007/978-3-642-31223-6_12,Diagrammatic Representation and Inference,Orthogonal Node-Link Diagram,Node-Link,2012,40-250,10-30
10.1007/978-3-642-31223-6_34,,,,,,Kai XuChris RooneyPeter PassmoreDong-Han Ham,,Henry,Diagrammatic Representation and Inference,,,No,,Yes,,,,,Yes,,No,Diana Marin,"September 20, 2025 11:05 PM",,,,,,,,Henry,SpringerLink,A User Study on Curved Edges in Graph Visualisation,,https://link.springer.com/chapter/10.1007/978-3-642-31223-6_34,Diagrammatic Representation and Inference,,,2012,,
10.1007/978-3-642-34191-5_4,,,,,,János PachRadoš RadoičićGéza Tóth,,Henry,Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:46 PM",,,,,,,,Henry,SpringerLink,Tangled Thrackles,,https://link.springer.com/chapter/10.1007/978-3-642-34191-5_4,Computational Geometry,,,2012,,
10.1007/978-3-642-34191-5_26,,,,,,Mikio KanoKazuhiro Suzuki,,Henry,Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:47 PM",,,,,,,,Henry,SpringerLink,Geometric Graphs in the Plane Lattice,,https://link.springer.com/chapter/10.1007/978-3-642-34191-5_26,Computational Geometry,,,2012,,
10.1007/978-3-642-33308-8_8,,,,,,Vytautas JancauskasAusra Mackute-VaroneckieneAudrius VaroneckasAntanas Zilinskas,,Henry,Information and Software Technologies,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 1:31 PM",,,,,,,,Henry,SpringerLink,On the Multi-objective Optimization Aided Drawing of Connectors for Graphs Related to Business Process Management,,https://link.springer.com/chapter/10.1007/978-3-642-33308-8_8,Information and Software Technologies,,,2012,,
10.1007/978-3-642-33293-7_19,,,,,,James AbelloPavel KlavíkJan KratochvílTomáš Vyskočil,,Henry,Parameterized and Exact Computation,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:45 PM",,,,,,,,Henry,SpringerLink,MSOL Restricted Contractibility to Planar Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-33293-7_19,Parameterized and Exact Computation,,,2012,,
10.1007/978-3-642-34611-8_28,,,,,,Steven ChaplickVít JelínekJan KratochvílTomáš Vyskočil,,Henry,Graph-Theoretic Concepts in Computer Science,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:45 PM",,,,,,,,Henry,SpringerLink,"Bend-Bounded Path Intersection Graphs: Sausages, Noodles, and Waffles on a Grill",,https://link.springer.com/chapter/10.1007/978-3-642-34611-8_28,Graph-Theoretic Concepts in Computer Science,,,2012,,
10.1007/978-1-4471-2804-5_7,,,,,,Peter EadesSeok-Hee Hong,,Henry,Expanding the Frontiers of Visual Analytics and Visualization,,,No,,No,,Henry,,,No,,Yes,Henry Ehlers,"October 4, 2025 1:29 PM",,,,,Survey,,,Henry,SpringerLink,"How to Draw a Graph, Revisited",,https://link.springer.com/chapter/10.1007/978-1-4471-2804-5_7,Expanding the Frontiers of Visual Analytics and Visualization,,,2012,,
10.1007/s00373-012-1137-3,,,,,,Jakub ČernýJan KynčlGéza Tóth,,Henry,Graphs and Combinatorics,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:44 PM",,,,,,,,Henry,SpringerLink,Improvement on the Decay of Crossing Numbers,,https://link.springer.com/article/10.1007/s00373-012-1137-3,Graphs and Combinatorics,,,2012,,
10.1007/s00224-012-9393-4,,,,,,Bart M. P. JansenHans L. Bodlaender,,Henry,Theory of Computing Systems,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:44 PM",,,,,,,,Henry,SpringerLink,Vertex Cover Kernelization Revisited,,https://link.springer.com/article/10.1007/s00224-012-9393-4,Theory of Computing Systems,,,2012,,
10.1007/s00454-012-9413-9,,,,,,Ken-ichi KawarabayashiStephan KreutzerBojan Mohar,,Henry,Discrete & Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:43 PM",,,,,,,,Henry,SpringerLink,Linkless and Flat Embeddings in 3-Space,,https://link.springer.com/article/10.1007/s00454-012-9413-9,Discrete & Computational Geometry,,,2012,,
10.1007/s00454-012-9430-8,,,,,,Hristo N. DjidjevImrich Vrt’o,,Henry,Discrete & Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:44 PM",,,,,,,,Henry,SpringerLink,Planar Crossing Numbers of Graphs of Bounded Genus,,https://link.springer.com/article/10.1007/s00454-012-9430-8,Discrete & Computational Geometry,,,2012,,
10.1007/s11390-012-1265-5,,,,,,Rafael Messias MartinsGabriel Faria AnderyHenry HeberleFernando Vieira PaulovichAlneu de Andrade LopesHelio PedriniRosane Minghim,,Henry,Journal of Computer Science and Technology,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 1:29 PM",,,,,,,,Henry,SpringerLink,Multidimensional Projections for Visual Analysis of Social Networks,,https://link.springer.com/article/10.1007/s11390-012-1265-5,Journal of Computer Science and Technology,,,2012,,
10.1007/s10618-012-0286-6,"Energy, Group Stability, Layout Stability, Stress","Drawing, Ensemble, Transition",,,"Information Network, Social Networks",Kevin S. XuMark KligerAlfred O. Hero III,xu_regularized_2013,Henry,Data Mining and Knowledge Discovery,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Number of Iterations), Looking at Pictures",Henry,"Clustered, Dynamic","Compound Graph, Dynamic (unspecified)",No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:39 PM",3,"Heuristic (Laplacian), Heuristic (MDS)",Heuristic,Layout,"Comparison, Evaluation, Method",,,Henry,SpringerLink,A regularized graph layout framework for dynamic network visualization,,https://link.springer.com/article/10.1007/s10618-012-0286-6,Data Mining and Knowledge Discovery,Straight-Line Node-Link Diagram,Node-Link,2012,,
10.1186/1471-2105-13-275,,,,,,William JR Longabaugh,,Henry,BMC Bioinformatics,,,No,,No,,,,,No,,No,Velitchko Filipov,"October 10, 2025 1:29 PM",,,,,,,,Henry,SpringerLink,Combing the hairball with BioFabric: a new approach for visualization of large networks,,https://link.springer.com/article/10.1186/1471-2105-13-275,BMC Bioinformatics,Biofabric,Biofabric,2012,,
10.1007/978-3-642-38016-7_22,Height,Drawing,Height,,Agnostic,Therese Biedl,biedl_4-approximation_2013,"Henry, Sara",Approximation and Online Algorithms,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,Proof,Henry,,2-Connected Outer-Planar Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:27 PM",,Exact (Proof),,Layout,Proof,,,Henry,SpringerLink,A 4-Approximation for the Height of Drawing 2-Connected Outer-Planar Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-38016-7_22,Approximation and Online Algorithms,"Node-Link Diagram, Straight-Line Node-Link Diagram",Node-Link,2013,,
10.1007/978-3-642-38233-8_7,,,,,,Till BruckdorferStefan FelsnerMichael Kaufmann,,Henry,Algorithms and Complexity,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:39 PM",,,,,,,,Henry,SpringerLink,On the Characterization of Plane Bus Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-38233-8_7,Algorithms and Complexity,,,2013,,
10.1007/978-1-4614-0110-0_14,,,,,,Radoslav FulekMichael J. PelsmajerMarcus SchaeferDaniel Štefankovič,,Henry,Thirty Essays on Geometric Graph Theory,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:34 PM",,,,,,,,Henry,SpringerLink,"Hanani–Tutte, Monotone Drawings, and Level-Planarity",,https://link.springer.com/chapter/10.1007/978-1-4614-0110-0_14,Thirty Essays on Geometric Graph Theory,,,2013,,
10.1007/978-1-4614-0110-0_9,,,,,,Giuseppe Di BattistaFabrizio Frati,,Henry,Thirty Essays on Geometric Graph Theory,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 1:17 PM",,,,,Survey,,,Henry,SpringerLink,"Drawing Trees, Outerplanar Graphs, Series-Parallel Graphs, and Planar Graphs in a Small Area",,https://link.springer.com/chapter/10.1007/978-1-4614-0110-0_9,Thirty Essays on Geometric Graph Theory,,,2013,,
10.1007/978-3-642-45030-3_16,,,,,,Otfried CheongSariel Har-PeledHeuna KimHyo-Sil Kim,,Henry,Algorithms and Computation,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:34 PM",,,,,,,,Henry,SpringerLink,On the Number of Edges of Fan-Crossing Free Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-45030-3_16,Algorithms and Computation,,,2013,,
10.1007/978-3-642-40104-6_31,,,,,,Markus GeyerMichael HoffmannMichael KaufmannVincent KustersCsaba D. Tóth,,Henry,Algorithms and Data Structures,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:33 PM",,,,,,,,Henry,SpringerLink,Planar Packing of Binary Trees,,https://link.springer.com/chapter/10.1007/978-3-642-40104-6_31,Algorithms and Data Structures,,,2013,,
10.1007/978-3-642-38559-9_17,,,,,,Patrik DubecJan PlucarLukáš Rapant,,Henry,"Multimedia Communications, Services and Security",,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:33 PM",,,,,,,,Henry,SpringerLink,Use of the Bio-inspired Algorithms to Find Global Minimum in Force Directed Layout Algorithms,,https://link.springer.com/chapter/10.1007/978-3-642-38559-9_17,"Multimedia Communications, Services and Security",,,2013,,
10.1007/978-3-642-40450-4_43,,,,,,Fedor V. FominMichał Pilipczuk,,Henry,Algorithms – ESA,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:32 PM",,,,,,,,Henry,SpringerLink,Subexponential Parameterized Algorithm for Computing the Cutwidth of a Semi-complete Digraph,,https://link.springer.com/chapter/10.1007/978-3-642-40450-4_43,Algorithms – ESA 2013,,,2013,,
10.1007/978-3-642-40104-6_9,,,,,,Michael J. BannisterSergio CabelloDavid Eppstein,,Henry,Algorithms and Data Structures,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:31 PM",,,,,,,,Henry,SpringerLink,Parameterized Complexity of 1-Planarity,,https://link.springer.com/chapter/10.1007/978-3-642-40104-6_9,Algorithms and Data Structures,,,2013,,
10.1007/978-3-642-40313-2_36,Block Crossings,"Drawing, Edge",Edge Crossings,,"Metro Maps, Transportation Networks",Martin FinkSergey Pupyrev,fink_ordering_2013,Henry,Mathematical Foundations of Computer Science,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Bounds, Proof",Henry,Geometric Contraints,"Simple Graph, Spatial",No,Edge Ordering,Yes,Diana Marin,"October 15, 2025 5:46 PM",,Heuristic (other),,Drawing,Algorithm,,,Henry,SpringerLink,Ordering Metro Lines by Block Crossings,,https://link.springer.com/chapter/10.1007/978-3-642-40313-2_36,Mathematical Foundations of Computer Science 2013,"Metro Map, Octolinear Node-Link Diagram",Node-Link,2013,,
10.1007/978-3-642-38768-5_41,,,,,,Yasuaki KobayashiHirokazu MarutaYusuke NakaeHisao Tamaki,,Henry,Computing and Combinatorics,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 1:16 PM",,,,,,,,Henry,SpringerLink,A Linear Edge Kernel for Two-Layer Crossing Minimization,,https://link.springer.com/chapter/10.1007/978-3-642-38768-5_41,Computing and Combinatorics,,,2013,,
10.1007/978-1-4614-0110-0_24,,,,,,Marcus Schaefer,,Henry,Thirty Essays on Geometric Graph Theory,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:29 PM",,,,,,,,Henry,SpringerLink,Realizability of Graphs and Linkages,,https://link.springer.com/chapter/10.1007/978-1-4614-0110-0_24,Thirty Essays on Geometric Graph Theory,,,2013,,
10.1007/978-1-4614-0110-0_10,,,,,,Walter DidimoGiuseppe Liotta,,Henry,Thirty Essays on Geometric Graph Theory,,,No,,No,,Henry,,,No,,Yes,Henry Ehlers,"October 4, 2025 1:05 PM",,,,,Survey,,,Henry,SpringerLink,The Crossing-Angle Resolution in Graph Drawing,,https://link.springer.com/chapter/10.1007/978-1-4614-0110-0_10,Thirty Essays on Geometric Graph Theory,,,2013,,
10.1007/978-1-4614-0110-0_12,,,,,,Stefan Felsner,,Henry,Thirty Essays on Geometric Graph Theory,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:29 PM",,,,,,,,Henry,SpringerLink,Rectangle and Square Representations of Planar Graphs,,https://link.springer.com/chapter/10.1007/978-1-4614-0110-0_12,Thirty Essays on Geometric Graph Theory,,,2013,,
10.1007/978-3-642-45043-3_21,,,,,,Stephane DurocherEllen GethnerDebajyoti Mondal,,Henry,Graph-Theoretic Concepts in Computer Science,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:16 PM",,,,,,,,Henry,SpringerLink,Thickness and Colorability of Geometric Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-45043-3_21,Graph-Theoretic Concepts in Computer Science,,,2013,,
10.1007/978-3-642-45043-3_26,,,,,,Kathrin HanauerFranz J. BrandenburgChristopher Auer,,Sara,Graph-Theoretic Concepts in Computer Science,,,No,,No,,,,,No,,No,Sara Di Bartolomeo,"August 18, 2025 4:11 PM",,,,,,,,Henry,SpringerLink,Tight Upper Bounds for Minimum Feedback Arc Sets of Regular Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-45043-3_26,Graph-Theoretic Concepts in Computer Science,,,2013,,
10.1007/978-3-319-03584-0_30,,,,,,Fangfang ZhouRonghua ShiYing ZhaoYezi HuangXing Liang,,Henry,Cyberspace Safety and Security,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 1:03 PM",,,,,,,,Henry,SpringerLink,NetSecRadar: A Visualization System for Network Security Situational Awareness,,https://link.springer.com/chapter/10.1007/978-3-319-03584-0_30,Cyberspace Safety and Security,,,2013,,
10.1007/978-3-642-36065-7_28,Edge Crossing Angle,Drawing,Crossing Resolution,,Agnostic,Hooman Reisi DehkordiQuan NguyenPeter EadesSeok-Hee Hong,reisi_dehkordi_circular_2013,Henry,WALCOM: Algorithms and Computation,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,"Computational (Aesthetic), Computational (Run Time), Proof",Henry,,Simple Graph,No,Layout Algorithm,Yes,Henry Ehlers,"October 14, 2025 11:10 AM",,Quadratic Programming,,Layout,"Algorithm, Proof",,,Henry,SpringerLink,Circular Graph Drawings with Large Crossing Angles,,https://link.springer.com/chapter/10.1007/978-3-642-36065-7_28,WALCOM: Algorithms and Computation,"Circular Layout, RAC Drawing, Straight-Line Node-Link Diagram",Node-Link,2013,,
10.1007/978-3-642-39617-5_9,,,,,,Harold Boley,,Henry,"Theory, Practice, and Applications of Rules on the Web",,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:15 PM",,,,,,,,Henry,SpringerLink,Grailog 1.0: Graph-Logic Visualization of Ontologies and Rules,,https://link.springer.com/chapter/10.1007/978-3-642-39617-5_9,"Theory, Practice, and Applications of Rules on the Web",,,2013,,
10.1007/978-3-642-38527-8_30,,,,,,Mathias Weller,,Henry,Experimental Algorithms,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 3:14 PM",,,,,,,,Henry,SpringerLink,An Improved Branching Algorithm for Two-Layer Planarization Parameterized by the Feedback Edge Set Number,,https://link.springer.com/chapter/10.1007/978-3-642-38527-8_30,Experimental Algorithms,,,2013,,
10.1007/978-3-642-39206-1_16,,,,,,Thomas BläsiusIgnaz RutterDorothea Wagner,,Henry,"Automata, Languages, and Programming",,,No,,Yes,,,,,No,,No,Diana Marin,"September 20, 2025 11:11 PM",,,,,,,,Henry,SpringerLink,Optimal Orthogonal Graph Drawing with Convex Bend Costs,,https://link.springer.com/chapter/10.1007/978-3-642-39206-1_16,"Automata, Languages, and Programming",,,2013,,
10.1007/978-3-642-40450-4_39,,,,,,Michael R. FellowsDanny HermelinFrances A. RosamondHadas Shachnai,,Henry,Algorithms – ESA,,,No,,Yes,,,,,No,,No,Diana Marin,"September 20, 2025 11:12 PM",,,,,,,,Henry,SpringerLink,Tractable Parameterizations for the Minimum Linear Arrangement Problem,,https://link.springer.com/chapter/10.1007/978-3-642-40450-4_39,Algorithms – ESA 2013,,,2013,,
10.1007/978-3-642-39253-5_61,Stability,"Drawing, Transition",,,Agnostic,Walter M. Rafelsberger,rafelsberger_interactive_2013,Henry,"Design, User Experience, and Usability Web, Mobile, and Product Design",All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,Looking at Pictures,Henry,Dynamic,"Dynamic (unspecified), Simple Graph",No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:42 PM",,Heuristic (force-directed),Heuristic,Layout,Method,,,Henry,SpringerLink,Interactive Visualization of Evolving Force-Directed Graphs,,https://link.springer.com/chapter/10.1007/978-3-642-39253-5_61,"Design, User Experience, and Usability. Web, Mobile, and Product Design",Straight-Line Node-Link Diagram,Node-Link,2013,,
10.1007/978-1-4419-7997-1_10,,,,,,Samir KhullerBalaji Raghavachari,,Henry,Handbook of Combinatorial Optimization,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 2:30 PM",,,,,,,,Henry,SpringerLink,Network Optimization,,https://link.springer.com/rwe/10.1007/978-1-4419-7997-1_10,Handbook of Combinatorial Optimization,,,2013,,
10.1186/1471-2105-14-S1-S1,,,,,,Giuseppe AgapitoPietro Hiram GuzziMario Cannataro,,Henry,BMC Bioinformatics,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 2:30 PM",,,,,,,,Henry,SpringerLink,Visualization of protein interaction networks: problems and solutions,,https://link.springer.com/article/10.1186/1471-2105-14-S1-S1,BMC Bioinformatics,,,2013,,
10.1007/s00605-013-0482-5,,,,,,Martin MilaničTomaž PisanskiArjana Žitnik,,Henry,Monatshefte für Mathematik,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 12:51 PM",,,,,,,,Henry,SpringerLink,"Dilation coefficient, plane-width, and resolution coefficient of graphs",,https://link.springer.com/article/10.1007/s00605-013-0482-5,Monatshefte für Mathematik,,,2013,,
10.1007/s12293-013-0115-5,K-Page Crossing Number,Drawing,Edge Crossings,Crossings,Agnostic,Dharna SatsangiKamal SrivastavaGursaran Srivastava,satsangi_k-page_2013,Henry,Memetic Computing,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,Computational (Aesthetic),Henry,,Book Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:12 PM",24,"Heuristic (guided evolutionary simulated annealing), Heuristic (other)",Heuristic,Layout,"Algorithm, Comparison, Evaluation",,,Henry,SpringerLink,"
K-page crossing number minimization problem: An evaluation of heuristics and its solution using GESAKP",,https://link.springer.com/article/10.1007/s12293-013-0115-5,Memetic Computing,Book Drawing,Node-Link,2013,,24-186
10.1007/s11432-013-4831-8,,,,,,GuiZhen WangChaoKai WenBingHui YanCong XieRongHua LiangWei Chen,,Henry,Science China Information Sciences,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 12:47 PM",,,,,,,,Henry,SpringerLink,Topic hypergraph: hierarchical visualization of thematic structures in long documents,,https://link.springer.com/article/10.1007/s11432-013-4831-8,Science China Information Sciences,,,2013,,
10.1007/s00791-014-0228-5,,,,,,Wenqiang DongXingyu FuGuangluan XuYu Huang,,Henry,Computing and Visualization in Science,,,No,,No,,,,,No,,No,Diana Marin,"October 3, 2025 5:38 PM",,,,,,,,Henry,SpringerLink,An improved force-directed graph layout algorithm based on aesthetic criteria,,https://link.springer.com/article/10.1007/s00791-014-0228-5,Computing and Visualization in Science,,,2013,,
10.1007/s00373-013-1335-7,,,,,,Eyal AckermanNoa NitzanRom Pinchasi,,Henry,Graphs and Combinatorics,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 2:27 PM",,,,,,,,Henry,SpringerLink,The Maximum Number of Edges in Geometric Graphs with Pairwise Virtually Avoiding Edges,,https://link.springer.com/article/10.1007/s00373-013-1335-7,Graphs and Combinatorics,,,2013,,
10.1007/s00454-013-9552-7,,,,,,Daniel GonçalvesBenjamin Lévêque,,Henry,Discrete & Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 2:26 PM",,,,,,,,Henry,SpringerLink,"Toroidal Maps: Schnyder Woods, Orthogonal Surfaces and Straight-Line Representations",,https://link.springer.com/article/10.1007/s00454-013-9552-7,Discrete & Computational Geometry,,,2013,,
10.1007/978-1-4939-0378-8_17,,,,,,Derek L. HansenMarc A. Smith,,Henry,Ways of Knowing in,,,No,,No,,,,,No,,No,Henry Ehlers,"October 4, 2025 12:45 PM",,,,,Evaluation,,,Henry,SpringerLink,Social Network Analysis in HCI,,https://link.springer.com/chapter/10.1007/978-1-4939-0378-8_17,Ways of Knowing in HCI,,,2014,,
